obstacle_name,obstacle_order,location
Spinning Bridge,7,Las Vegas
Spider Flip,7,Las Vegas
Salmon Ladder,7,Venice
Triple Swing,8,Las Vegas
Lamp Grasper,8,Midwest
Gliding Ring,8,Sasuke 23 (Japan)
Salmon Ladder,8,Southeast
The Wedge,8,Los Angeles
Arm Rings,8,Southwest
Giant Cubes,8,Los Angeles
Rope Maze,8,Venice
The Clacker,8,Indianapolis
Flying Bar,8,Las Vegas
Swinging Frames,8,San Pedro (Military)
Salmon Ladder,8,Northeast
Floating Monkey Bars,8,Atlanta
Lamp Grasper,8,Mid-South
Flying Bar,8,Las Vegas
Tarzan Rope,8,Las Vegas
Twist & Fly,8,Las Vegas
Arm Rings,8,Northwest
Flying Squirrel,8,Las Vegas
Jumping Bars,8,Venice
Captain's Wheel,8,Philadelphia
Tarzan Rope,8,Las Vegas
Hourglass Drop,8,Indianapolis
Floating Stairs,8,Denver
Tarzan Rope,8,Sasuke 26 (Japan)
Flying Bar,8,Las Vegas
The Wedge,8,Denver
Tarzan Rope,8,Sasuke 27 (Japan)
Nail Clipper,8,Cleveland
Walking Bar,8,Houston
Bungee Road,8,Oklahoma City
Rumbling Dice,8,Baltimore
Giant Cubes,8,Daytona Beach
Tarzan Rope,8,Las Vegas
Swinging Peg Board,8,Los Angeles
Rumbling Dice,8,St. Louis
Floating Monkey Bars,8,Kansas City
Rumbling Dice,8,Venice
Flying Bar,8,Las Vegas
Floating Monkey Bars,8,Pittsburgh
Flying Shelf Grab,8,Philadelphia
Cannonball Alley,8,Venice
Circle Slider,8,Venice
Flying Bar,8,Las Vegas
The Hinge,8,Minneapolis
Swinging Frames,8,Dallas
Flying Squirrel,8,Las Vegas
Flying Shelf Grab,8,Kansas City
Flying Bar,8,Las Vegas
Tarzan Rope,8,Sasuke 23 (Japan)
Nail Clipper,8,Dallas
Arm Rings,8,Denver
Hourglass Drop,8,San Antonio
Cannonball Alley,8,Orlando
Crazy Clocks,8,Miami
Ledge Jump,8,Miami
Cane Lane,8,Las Vegas
Unstable Bridge,8,Venice
Minefield,8,Miami
Stair Hopper,9,Los Angeles
Rolling Steel,9,Miami
Cane Lane,9,Indianapolis
Body Prop,9,Venice
The Clacker,9,Cleveland
Crazy Cliffhanger,9,Houston
Fallout,9,Dallas
Pole Grasper,9,Denver
Globe Grasper,9,San Pedro (Military)
Rope Ladder,9,Sasuke 27 (Japan)
Stair Hopper,9,Miami
Body Prop,9,Kansas City
Window Hang,9,Oklahoma City
Cargo Climb,9,Venice
Stair Hopper,9,Philadelphia
Cargo Climb,9,Venice
Rope Ladder,9,Las Vegas
Rope Ladder,9,Las Vegas
